quarter,Loan,Credit,brokerage,Consumer Banking,investment banking,credit card,checking,savings,shares,digital banking,checking accounts,advisory,asset management,bond
q2_2015,33.0,18.0,4.0,6.0,4.0,4.0,0.0,2.0,1.0,0.0,1.0,1.0,4.0,1.0
q3_2015,24.0,25.0,3.0,2.0,5.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,2.0,1.0
q4_2015,28.0,20.0,4.0,3.0,1.0,4.0,0.0,4.0,0.0,0.0,1.0,1.0,3.0,1.0
q1_2016,16.0,16.0,2.0,5.0,4.0,5.0,2.0,5.0,1.0,0.0,0.0,3.0,1.0,3.0
q2_2016,22.0,16.0,6.0,4.0,3.0,4.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0
q3_2016,22.0,24.0,17.0,2.0,2.0,5.0,0.0,0.0,1.0,2.0,3.0,7.0,1.0,0.0
q4_2016,20.0,16.0,2.0,4.0,0.0,0.0,2.0,0.0,1.0,3.0,0.0,1.0,1.0,0.0
q1_2017,17.0,26.0,8.0,6.0,10.0,5.0,0.0,2.0,1.0,3.0,2.0,0.0,1.0,0.0
q2_2017,12.0,15.0,6.0,8.0,5.0,4.0,4.0,1.0,2.0,2.0,4.0,1.0,1.0,1.0
q3_2017,26.0,19.0,10.0,5.0,4.0,2.0,0.0,2.0,4.0,4.0,1.0,2.0,3.0,2.0
q4_2017,30.0,16.0,7.0,6.0,5.0,2.0,3.0,11.0,5.0,3.0,0.0,1.0,2.0,5.0
q1_2018,20.0,11.0,14.0,4.0,1.0,10.0,1.0,2.0,2.0,6.0,2.0,0.0,2.0,0.0
q2_2018,21.0,14.0,6.0,8.0,3.0,15.0,8.0,2.0,2.0,2.0,4.0,4.0,1.0,0.0
q3_2018,17.0,9.0,2.0,6.0,4.0,3.0,2.0,2.0,3.0,2.0,3.0,2.0,1.0,0.0
q4_2018,23.0,23.0,6.0,5.0,1.0,5.0,7.0,3.0,5.0,3.0,4.0,0.0,0.0,1.0
q1_2019,23.0,16.0,2.0,4.0,6.0,7.0,7.0,1.0,3.0,0.0,2.0,2.0,0.0,1.0
q2_2019,23.0,10.0,0.0,3.0,6.0,2.0,12.0,2.0,4.0,1.0,1.0,0.0,1.0,2.0
q3_2019,22.0,10.0,3.0,7.0,11.0,1.0,7.0,1.0,3.0,1.0,3.0,2.0,1.0,1.0
q4_2019,27.0,12.0,1.0,5.0,5.0,1.0,3.0,6.0,6.0,0.0,2.0,1.0,0.0,0.0
q1_2020,30.0,13.0,1.0,3.0,6.0,4.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,2.0
