quarter,Fixed income,Credit,Loan,advisory,asset management,brokerage,savings,investment banking,shares,Investment Banking,Asset management,private equity,FX,Advisory,CDs,Investment banking,money market,bond,corporate lending
q2_2015,6.0,5.0,9.0,2.0,1.0,5.0,0.0,2.0,1.0,2.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
q3_2015,17.0,12.0,9.0,3.0,4.0,5.0,0.0,4.0,1.0,0.0,1.0,10.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0
q4_2015,10.0,11.0,9.0,0.0,2.0,1.0,5.0,5.0,3.0,3.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0
q1_2016,14.0,9.0,7.0,1.0,2.0,1.0,4.0,1.0,1.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0
q2_2016,12.0,10.0,5.0,1.0,2.0,1.0,2.0,3.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
q3_2016,15.0,9.0,1.0,1.0,1.0,3.0,4.0,2.0,2.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0
q4_2016,16.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,4.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0
q1_2017,7.0,7.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,1.0,2.0,0.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0
q2_2017,5.0,3.0,2.0,4.0,3.0,5.0,2.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0
q3_2017,7.0,7.0,5.0,6.0,7.0,2.0,7.0,0.0,3.0,6.0,0.0,0.0,2.0,1.0,5.0,0.0,3.0,0.0,0.0
q4_2017,12.0,3.0,6.0,4.0,4.0,0.0,3.0,0.0,3.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
q1_2018,14.0,8.0,9.0,3.0,3.0,2.0,2.0,4.0,1.0,0.0,2.0,1.0,2.0,1.0,2.0,2.0,0.0,0.0,0.0
q2_2018,12.0,3.0,7.0,4.0,3.0,1.0,3.0,3.0,1.0,0.0,2.0,0.0,2.0,1.0,6.0,3.0,0.0,0.0,0.0
q3_2018,9.0,5.0,6.0,1.0,5.0,5.0,2.0,3.0,1.0,0.0,2.0,0.0,2.0,1.0,3.0,3.0,0.0,0.0,1.0
q4_2018,11.0,6.0,4.0,7.0,4.0,1.0,0.0,1.0,1.0,5.0,4.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
q1_2019,6.0,4.0,7.0,4.0,4.0,1.0,0.0,0.0,1.0,3.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0
q2_2019,7.0,6.0,5.0,3.0,4.0,6.0,1.0,1.0,1.0,2.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
q3_2019,7.0,2.0,7.0,4.0,2.0,6.0,1.0,4.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
q4_2019,4.0,2.0,2.0,8.0,3.0,3.0,2.0,2.0,4.0,0.0,2.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
q1_2020,4.0,7.0,8.0,0.0,1.0,2.0,1.0,1.0,2.0,1.0,3.0,2.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0
